,index,text,label
16,148it,"We haven't even begun to @map@ the many galaxies that we know exist.
youdao: Non abbiamo nemmeno iniziato a mappare le molte galassie che sappiamo esistere.
google: Non abbiamo nemmeno iniziato a mappare le molte galassie che sappiamo esistere.
opus: Non abbiamo nemmeno iniziato a mappare le molte galassie che conosciamo esistono.
group_1:
ref: non abbiamo nemmeno iniziato a mappare le molte galassie che sappiamo esistere.
group_2:
ref:non abbiamo nemmeno iniziato a mappare le molte galassie che conosciamo esistono.
group_3:
ref: non abbiamo nemmeno iniziato a mappare le molte galassie che conosciamo esistono.",
17,319it,"The crowd @pushed@ forward.
youdao: La folla ha spinto avanti.
google: La folla si fece avanti.
opus: La folla si è spinta in avanti.
group_1:
ref:la folla si è spinta in avanti.
group_2:
ref:la folla si è spinta in avanti.
group_3:
ref: la folla si è spinta in avanti.",
18,111it,"The police @raided@ the crack house.
youdao: La polizia ha fatto irruzione nella casa delle cricche.
google: La polizia ha fatto irruzione nella crack house.
opus: La polizia ha fatto irruzione nel crack house.
group_1:
ref:la polizia ha fatto irruzione nel covo di tossici
group_2:
ref:la polizia ha fatto irruzione nella casa delle cricche.
group_3:
ref: la polizia ha fatto incursione nel crack house.",
19,325it,"The bell cracked and had to be @recast.@
youdao: La campana si incrinò e dovette essere rifusa.
google: La campana si è rotta e ha dovuto essere rifusa.
opus: La campana si spezzò e dovette essere rifusa.
group_1:
ref: la campana si spezzò e dovette essere rifusa.
group_2:
ref:la campana si è incrinata e ha dovuto essere rifusa.
group_3:
ref: la campana si è rotta e ha dovuto essere rifusa.",
20,123it,"@smother@ the meat in gravy.
youdao: Soffoca la carne nel sugo.
google: soffocare la carne nel sugo.
opus: Soffocare la carne in salsa.
group_1:
ref: soffocare la carne in salsa.
group_2:
ref:soffocare la carne in salsa.
group_3:
ref:soffocare la carne nel sugo.",
21,19it,"@preserve@ the forest and the lakes.
youdao: Preservare la foresta e i laghi.
google: preservare la foresta e i laghi.
opus: preservare la foresta e i laghi.
group_1:
ref:preservare la foresta e i laghi.
group_2:
ref:preservare la foresta e i laghi.
group_3:
ref:preservare la foresta e i laghi.",
22,153it,"the salesman @pounded@ the door knocker.
youdao: Il commesso pestò la porta bussò.
google: il commesso bussò al batacchio della porta.
opus: Il venditore ha buttato giu' il chiosco della porta.
group_1:
ref: il commesso ha battuto forte al batacchio della porta.
group_2:
ref:il venditore ha buttato giu' il chiosco della porta.
group_3:
ref: il commesso pestò la porta bussò.",
23,167it,"He @marched@ into the classroom and announced the exam.
youdao: Ha marciato in classe e ha annunciato l’esame.
google: Entrò in classe e annunciò l'esame.
opus: Ha marciato in classe e ha annunciato l'esame.
group_1:
ref:ha marciato in classe e ha annunciato l'esame.
group_2:
ref:ha marciato in classe e ha annunciato l'esame.
group_3:
ref: ha marciato in classe e ha annunciato l'esame.",
24,307it,"There are marshes that @stagnate@ the waters.
youdao: Ci sono paludi che stagnano le acque.
google: Ci sono paludi che ristagnano le acque.
opus: Ci sono paludi che ristagnano le acque.
group_1:
ref: ci sono paludi che ristagnano le acque.
group_2:
ref:ci sono paludi che fanno ristagnare le acque.
group_3:
ref: ci sono paludi che stagnano le acque.",
25,237it,"@stuff@ a pillow with feathers.
youdao: Roba da cuscino con piume.
google: imbottire un cuscino con piume.
opus: riempie un cuscino di piume.
group_1:
ref: riempie un cuscino di piume.
group_2:
ref: imbottire un cuscino con piume.
group_3:
ref: riempie un cuscino di piume.",
26,151it,"She @splashed@ the water around her.
youdao: Lei spruzzò l’acqua intorno a lei.
google: Ha spruzzato l'acqua intorno a lei.
opus: Ha spruzzato l'acqua intorno a lei.
group_1:
ref: ha spruzzato l'acqua intorno a lei.
group_2:
ref:ha spruzzato l'acqua intorno a lei.
group_3:
ref: ha spruzzato l'acqua intorno a lei.",
27,331it,"This rare Bordeaux must be allowed to @breathe@ for at least 2 hours.
youdao: Questa rara Bordeaux deve poter respirare per almeno 2 ore.
google: Questo raro Bordeaux deve essere lasciato respirare per almeno 2 ore.
opus: Questo raro Bordeaux deve essere lasciato respirare per almeno 2 ore.
group_1:
ref: questo raro bordeaux deve essere lasciato respirare per almeno 2 ore.
group_2:
ref:questo raro bordeaux deve essere lasciato respirare per almeno 2 ore.
group_3:
ref: questo raro bordeaux deve essere lasciato respirare per almeno 2 ore.",
28,255it,"We @injected@ the glucose into the patient's vein.
youdao: Abbiamo iniettato il glucosio nella vena del paziente.
google: Abbiamo iniettato il glucosio nella vena del paziente.
opus: Abbiamo iniettato il glucosio nella vena del paziente.
group_1:
ref:abbiamo iniettato il glucosio nella vena del paziente.
group_2:
ref:abbiamo iniettato il glucosio nella vena del paziente.
group_3:
ref: abbiamo iniettato il glucosio nella vena del paziente.",
29,146it,"@commit@ a random act of kindness.
youdao: Commettere un atto di gentilezza casuale.
google: commettere un atto casuale di gentilezza.
opus: commettere un atto casuale di gentilezza.
group_1:
ref:commettere un atto casuale di gentilezza.
group_2:
ref:commettere un atto casuale di gentilezza.
group_3:
ref: commettere un atto casuale di gentilezza.",
30,97it,"We can @compare@ the Han dynasty to the Romans.
youdao: Possiamo paragonare la dinastia Han ai romani.
google: Possiamo paragonare la dinastia Han ai Romani.
opus: Possiamo paragonare la dinastia Han ai Romani.
group_1:
ref: possiamo paragonare la dinastia han ai romani.
group_2:
ref:possiamo paragonare la dinastia han ai romani.
group_3:
ref: possiamo paragonare la dinastia han ai romani.",
31,188it,"The State @taxes@ alcohol heavily.
youdao: Lo stato tassa pesantemente l’alcol.
google: Lo Stato tassa pesantemente l'alcol.
opus: Lo Stato tassa pesantemente l'alcol.
group_1:
ref: lo stato tassa pesantemente l'alcol.
group_2:
ref: lo stato tassa pesantemente l'alcol.
group_3:
ref: lo stato tassa pesantemente l'alcol.",
32,190it,"Can you @taste@ the garlic?
youdao: Sai assaggiare l’aglio?
google: Riuscite ad assaggiare l'aglio?
opus: Riesci a sentire l'aglio?
group_1:
ref:riuscite ad assaggiare l'aglio?
group_2:
ref:riuscite ad assaggiare l'aglio?
group_3:
ref: riuscite ad assaggiare l'aglio?",
33,169it,"Great heat can @ignite@ almost any dry matter.
youdao: Un grande calore può accendere quasi tutta la materia secca.
google: Il grande calore può incendiare quasi tutta la materia secca.
opus: Grande calore può accendere quasi qualsiasi materia secca.
group_1:
ref: il grande calore può incendiare quasi tutta la materia secca.
group_2:
ref:un grande calore può accendere quasi tutta la materia secca.
group_3:
ref: il grande calore può incendiare quasi tutta la materia secca.",
34,78it,"The champagne bottle @exploded.@
youdao: La bottiglia di champagne esplose.
google: La bottiglia di champagne è esplosa.
opus: La bottiglia di champagne e' esplosa.
group_1:
ref: la bottiglia di champagne e' esplosa
group_2:
ref:la bottiglia di champagne è scoppiato.
group_3:
ref: la bottiglia di champagne e' esplosa.",
35,61it,"He and his sons haven't @communicated@ for years.
youdao: Lui e i suoi figli non comunicano da anni.
google: Lui ei suoi figli non comunicano da anni.
opus: Lui e i suoi figli non comunicano da anni.
group_1:
ref: lui e i suoi figli non comunicano da anni.
group_2:
ref:lui e i suoi figli non comunicano da anni.
group_3:
ref: lui e i suoi figli non comunicano da anni.",
36,270it,"The tugboat @tugged@ the freighter into the harbor.
youdao: Il rimorchiatore ha ancorato il cargo al porto.
google: Il rimorchiatore ha rimorchiato il mercantile nel porto.
opus: Il rimorchiatore ha tirato la nave nel porto.
group_1:
ref:il rimorchiatore ha rimorchiato il mercantile nel porto.
group_2:
ref:il rimorchiatore ha rimorchiato la nave da carico nel porto.
group_3:
ref: il rimorchiatore ha tirato la nave nel porto.",
37,290it,"The sun @melted@ the ice.
youdao: Il sole ha sciolto il ghiaccio.
google: Il sole ha sciolto il ghiaccio.
opus: Il sole sciolse il ghiaccio.
group_1:
ref:il sole ha sciolto il ghiaccio.
group_2:
ref:il sole ha sciolto il ghiaccio.
group_3:
ref: il sole sciolse il ghiaccio.",
38,276it,"The cooling lava continued to @gutter@ toward lower ground.
youdao: La lava di raffreddamento continuò a scorrere verso il basso.
google: La lava in raffreddamento continuava a gocciolare verso il terreno più basso.
opus: La lava di raffreddamento continuò a sbobbare verso il suolo inferiore.
group_1:
group_2:
ref:la lava che si raffreddava continuava a scorrere verso il terreno più basso.
group_3:
ref: la lava di raffreddamento continuò a sbobbare verso il suolo inferiore.",
39,79it,"These books @sell@ like hot cakes.
youdao: Questi libri vendono come torte calde.
google: Questi libri vanno a ruba.
opus: Questi libri vendono come torte calde.
group_1:
ref: questi libri vendono come il pane.
group_2:
ref:questi libri si vendono a palate.
group_3:
ref: questi libri vendono come torte calde.",
40,104it,"The teacher @nodded@ when the student gave the right answer.
youdao: L’insegnante annuì quando lo studente diede la risposta giusta.
google: L'insegnante annuì quando lo studente diede la risposta giusta.
opus: L'insegnante ha annuito quando lo studente ha dato la risposta giusta.
group_1:
ref: l'insegnante ha annuito quando lo studente ha dato la risposta giusta.
group_2:
ref:l'insegnante ha annuito quando lo studente ha dato la risposta giusta.
group_3:
ref: l'insegnante ha annuito quando lo studente ha dato la risposta giusta.",
41,312it,"She was @singing@ while she was cooking.
youdao: Stava cantando mentre stava cucinando.
google: Stava cantando mentre cucinava.
opus: Cantava mentre cucinava.
group_1:
ref: cantava mentre cucinava.
group_2:
ref:stava cantando mentre stava cucinando.
group_3:
ref: stava cantando mentre stava cucinando.",
42,321it,"The Chinese would @bind@ the feet of their women.
youdao: I cinesi si legherebbero i piedi alle loro donne.
google: I cinesi fasciavano i piedi delle loro donne.
opus: I cinesi legherebbero i piedi alle loro donne.
group_1:
ref: i cinesi legherebbero i piedi alle loro donne.
group_2:
ref: i cinesi fascierebbero i piedi delle loro donne.
group_3:
ref: i cinesi fasciavano i piedi delle loro donne.",
43,263it,"She @poisoned@ her husband.
youdao: Ha avvelenato suo marito.
google: Ha avvelenato suo marito.
opus: Ha avvelenato suo marito.
group_1:
ref: ha avvelenato suo marito.
group_2:
ref:ha avvelenato suo marito.
group_3:
ref: ha avvelenato suo marito.",
44,330it,"The wind @ruffled@ the surface of the water.
youdao: Il vento soffiò sulla superficie dell’acqua.
google: Il vento scompigliava la superficie dell'acqua.
opus: Il vento arruffava la superficie dell'acqua.
group_1:
ref:il vento arruffava la superficie dell'acqua.
group_2:
ref:il vento scompigliava la superficie dell'acqua.
group_3:
ref: il vento arruffava la superficie dell'acqua.",
45,252it,"Beethoven @composed@ nine symphonies.
youdao: Beethoven compose nove sinfonie.
google: Beethoven ha composto nove sinfonie.
opus: Beethoven compose nove sinfonie.
group_1:
ref:beethoven compose nove sinfonie.
group_2:
ref:beethoven compose nove sinfonie.
group_3:
ref: beethoven ha composto nove sinfonie.",
46,3it,"Please @guard@ my possessions while I'm away.
youdao: Per favore custodisce I miei beni mentre sono via.
google: Per favore, proteggi i miei averi mentre sono via.
opus: Ti prego, proteggi i miei beni mentre sono via.
group_1:
ref: per favore custodisce i miei beni mentre sono via.
group_2:
ref:per favore,custodisce i miei beni mentre sono via.
group_3:
ref: per favore custodisce i miei beni mentre sono via.",
47,85it,"They @poured@ water over the floor.
youdao: Hanno versato acqua sul pavimento.
google: Hanno versato acqua sul pavimento.
opus: Hanno versato acqua sul pavimento.
group_1:
ref:hanno versato acqua sul pavimento.
group_2:
ref:hanno versato acqua sul pavimento.
group_3:
ref: hanno versato acqua sul pavimento.",
48,293it,"The smoke @clouded@ above the houses.
youdao: Il fumo nuvolava sopra le case.
google: Il fumo si rannuvolava sopra le case.
opus: Il fumo si annebbiava sopra le case.
group_1:
ref: il fumo si rannuvolava sopra le case.
group_2:
ref:il fumo annuvolava sopra le case.
group_3:
ref: il fumo si rannuvolava sopra le case.",
49,251it,"Every summer, we @visited@ our relatives in the country for a month.
youdao: Ogni estate visitiamo i nostri parenti nel paese per un mese.
google: Ogni estate andavamo a trovare i nostri parenti in campagna per un mese.
opus: Ogni estate, abbiamo visitato i nostri parenti nel paese per un mese.
group_1:
ref: ogni estate visitavamo i nostri parenti nel paese per un mese.
group_2:
ref:ogni estate, abbiamo visitato i nostri parenti nel paese per un mese.
group_3:
ref: ogni estate, abbiamo visitato i nostri parenti nel paese per un mese.",
50,10it,"I @inherited@ a castle from my French grandparents.
youdao: Ho ereditato un castello dai miei nonni francesi.
google: Ho ereditato un castello dai miei nonni francesi.
opus: Ho ereditato un castello dai miei nonni francesi.
group_1:
ref:ho ereditato un castello dai miei nonni francesi.
group_2:
ref:ho ereditato un castello dai miei nonni francesi.
group_3:
ref: ho ereditato un castello dai miei nonni francesi.",
51,239it,"This exercise will @hurt@ your back.
youdao: Questo esercizio ti farà male alla schiena.
google: Questo esercizio ti farà male alla schiena.
opus: Questo esercizio ti fara' male alla schiena.
group_1:
group_2:
ref:questo esercizio ti fara' male alla schiena.
group_3:
ref:questo esercizio ti fara' male alla schiena.",
52,174it,"The Turks @besieged@ Vienna.
youdao: I turchi assediarono Vienna.
google: I Turchi assediarono Vienna.
opus: I turchi assediarono Vienna.
group_1:
ref: i turchi assediarono vienna.
group_2:
ref:i turchi assediarono vienna.
group_3:
ref: i turchi assediarono vienna.",
53,113it,"Goya wanted to @portray@ his mistress, the Duchess of Alba.
youdao: Goya voleva ritrarre la sua amante, la duchessa di Alba.
google: Goya voleva ritrarre la sua amante, la duchessa d'Alba.
opus: Goya voleva ritrarre la sua amante, la duchessa di Alba.
group_1:
ref:goya voleva ritrarre la sua amante, la duchessa di alba.
group_2:
ref:goya voleva ritrarre la sua amante, la duchessa di alba.
group_3:
ref: goya voleva ritrarre la sua amante, la duchessa di alba.",
54,39it,"the bullet @pinged@ when they struck the car.
youdao: Il proiettile pinged quando hanno colpito l’auto.
google: il proiettile ha emesso un suono quando hanno colpito l'auto.
opus: Il proiettile si e' beccato quando hanno colpito l'auto.
group_1:
group_2:
ref:il proiettile ha emesso un suono quando hanno colpito l'auto.
group_3:
ref: il proiettile ha emesso un suono quando hanno colpito l'auto.",
55,121it,"Johnson @brushed@ the hairs from his jacket.
youdao: Johnson spazzolò i peli dalla giacca.
google: Johnson si scostò i peli dalla giacca.
opus: Johnson gli ha spazzolato i capelli dalla giacca.
group_1:
ref:johnson gli ha spazzolato i capelli dalla giacca.
group_2:
ref:johnson gli ha spazzolato i capelli dalla giacca.
group_3:
ref: johnson spazzolò i peli dalla giacca.",
56,95it,"He @floated@ the logs down the river.
youdao: Fece galleggiare i tronchi lungo il fiume.
google: Ha fatto galleggiare i tronchi lungo il fiume.
opus: Ha fatto galleggiare i tronchi lungo il fiume.
group_1:
ref:ha fatto galleggiare i tronchi lungo il fiume.
group_2:
ref:ha fatto galleggiare i tronchi lungo il fiume.
group_3:
ref: ha fatto galleggiare i tronchi lungo il fiume.",
57,318it,"The children @wrestled@ in the garden.
youdao: I bambini lottavano in giardino.
google: I bambini hanno lottato in giardino.
opus: I bambini lottavano in giardino.
group_1:
ref: i bambini lottavano in giardino.
group_2:
ref:i bambini hanno lottato in giardino.
group_3:
ref:i bambini lottavano in giardino.",
58,13it,"This hotel can @accommodate@ 250 guests.
youdao: Questo hotel può ospitare 250 ospiti.
google: Questo hotel può ospitare 250 ospiti.
opus: Questo hotel può ospitare 250 persone.
group_1:
ref:questo hotel può ospitare 250 ospiti.
group_2:
ref:questo hotel può ospitare 250 ospiti.
group_3:
ref:questo hotel può ospitare 250 ospiti.",
59,264it,"The bird @landed@ on the highest branch.
youdao: L’uccello è atterrato sul ramo più alto.
google: L'uccello si è posato sul ramo più alto.
opus: L'uccello è atterrato sul ramo più alto.
group_1:
ref: l'uccello è atterrato sul ramo più alto.
group_2:
ref:l'uccello si è posato sul ramo più alto.
group_3:
ref: l'uccello è atterrato sul ramo più alto.",
60,262it,"The motorcycle @smashed@ into the guard rail.
youdao: Il motociclo si è schiantato nel parapetto.
google: La moto si è schiantata contro il guard rail.
opus: La moto si e' schiantata contro il parapetto.
group_1:
ref: la moto si e' schiantata contro il parapetto.
group_2:
ref:la moto si è schiantata contro il guard rail.
group_3:
ref: la moto si e' schiantata contro il parapetto.",
61,279it,"This mushrooms can @poison.@
youdao: Questi funghi possono avvelenare.
google: Questi funghi possono avvelenare.
opus: Questi funghi possono avvelenare.
group_1:
ref: questi funghi possono avvelenare.
group_2:
ref:questi funghi possono avvelenare.
group_3:
ref: questi funghi possono avvelenare.",
62,249it,"The swollen river @flooded@ the village.
youdao: Il fiume gonfio ha inondato il villaggio.
google: Il fiume in piena ha inondato il villaggio.
opus: Il fiume gonfio ha allagato il villaggio.
group_1:
ref: il fiume in piena ha inondato il villaggio.
group_2:
ref:il fiume gonfio ha allagato il villaggio.
group_3:
ref:il fiume gonfio ha inondato il villaggio.",
63,195it,"He @dashed@ the plate against the wall.
youdao: Ha schiacciato il piatto contro il muro.
google: Ha sbattuto il piatto contro il muro.
opus: Ha schiacciato la piastra contro il muro.
group_1:
ref: scagliò il piatto contro il muro.
group_2:
ref:ha sbattuto il piatto contro il muro.
group_3:
ref: ha sbattuto il piatto contro il muro.",
64,1it,"@tack@ the notice on the board.
youdao: Barrare l’avviso sulla lavagna.
google: attacca l'avviso alla lavagna.
opus: Attacca l'avviso sulla lavagna.
group_1:
ref: attacca l'avviso sulla lavagna.
group_2:
ref:affiggere l'avviso sul boazrd.
group_3:
ref: attacca l'avviso sulla lavagna.",
65,67it,"snow @drifting@ several feet high.
youdao: Neve alla deriva alta diversi piedi.
google: neve alla deriva alta diversi piedi.
opus: neve che va alla deriva a diversi piedi di altezza.
group_1:
ref:neve che va alla deriva a diversi piedi di altezza.
group_2:
ref:neve che va alla deriva a diversi piedi di altezza.
group_3:
ref: neve alla deriva alta diversi piedi.",
66,306it,"The brothers @sell@ shoes.
youdao: I fratelli vendono scarpe.
google: I fratelli vendono scarpe.
opus: I fratelli vendono scarpe.
group_1:
ref: i fratelli vendono scarpe.
group_2:
ref:i fratelli vendono scarpe.
group_3:
ref: i fratelli vendono scarpe.",
67,258it,"He @painted@ his mistress many times.
youdao: Lui dipinse la sua amante molte volte.
google: Ha dipinto la sua amante molte volte.
opus: Ha dipinto la sua amante molte volte.
group_1:
ref: ha dipinto la sua amante molte volte.
group_2:
ref:ha dipinto la sua amante molte volte.
group_3:
ref: ha dipinto la sua amante molte volte.",
68,268it,"letters @trenched@ into the stone.
youdao: Lettere affisse nella pietra.
google: lettere scavate nella pietra.
opus: Le lettere si sono intrufolate nella pietra.
group_1:
ref:lettere scavate nella pietra.
group_2:
ref:lettere scavate nella pietra.
group_3:
ref: lettere scavate nella pietra.",
69,41it,"The ground @levelled@ off.
youdao: Il terreno si è stabilizzato.
google: Il terreno si è livellato.
opus: Il terreno si è livellato.
group_1:
ref: il terreno si è livellato.
group_2:
ref:il terreno si è livellato.
group_3:
ref: il terreno si è livellato.",
70,244it,"The patient must @drink@ several liters each day.
youdao: Il paziente deve bere diversi litri al giorno.
google: Il paziente deve bere diversi litri al giorno.
opus: Il paziente deve bere più litri al giorno.
group_1:
ref: il paziente deve bere diversi litri al giorno.
group_2:
ref: il paziente deve bere diversi litri al giorno.
group_3:
ref: il paziente deve bere diversi litri al giorno.",
71,203it,"Did you ever @visit@ Paris?.
youdao: Hai mai visitato parigi?.
google: Hai mai visitato Parigi?.
opus: Hai mai visitato Parigi?.
group_1:
ref:hai mai visitato parigi?
group_2:
ref:hai mai visitato parigi?.
group_3:
ref: hai mai visitato parigi?",
72,207it,"The rain water @drains@ into this big vat.
youdao: L’acqua piovana drena in questa grande iva.
google: L'acqua piovana defluisce in questa grande vasca.
opus: L'acqua piovana sgorga in questa grande vasca.
group_1:
ref: l’acqua piovana drena in questa grande vasca.
group_2:
ref:l’acqua piovana drena in questa grande iva.
group_3:
ref: l'acqua piovana defluisce in questa grande vasca.",
73,296it,"They tried to @recapture@ the escaped prisoner.
youdao: Hanno provato a ritrovare il prigioniero scappato.
google: Hanno cercato di riconquistare il prigioniero fuggito.
opus: Hanno cercato di riconquistare il prigioniero evaso.
group_1:
ref:hanno cercato di riconquistare il prigioniero fuggito.
group_2:
ref:hanno cercato di ricatturare il prigioniero evaso.
group_3:
ref: hanno cercato di riconquistare il prigioniero evaso.",
74,149it,"The needle @pierced@ her flesh.
youdao: L’ago le perforò la carne.
google: L'ago le ha trafitto la carne.
opus: L'ago le ha trafitto la carne.
group_1:
ref:l'ago le ha trafitto la carne.
group_2:
ref: l’ago le perforò la carne.
group_3:
ref: l'ago le ha trafitto la carne.",
75,90it,"She @neutralized@ the solution.
youdao: Ha neutralizzato la soluzione.
google: Ha neutralizzato la soluzione.
opus: Ha neutralizzato la soluzione.
group_1:
ref: ha neutralizzato la soluzione.
group_2:
ref:ha neutralizzato la soluzione.
group_3:
ref: ha neutralizzato la soluzione.",
76,283it,"Drive carefully -- the wet road @reflects.@
youdao: Guidare con attenzione - la strada bagnata riflette.
google: Guida con prudenza: la strada bagnata riflette.
opus: Guidare con attenzione -- la strada bagnata riflette.
group_1:
ref: guida con prudenza: la strada bagnata riflette.
group_2:
ref:guidare con attenzione -- la strada bagnata riflette.
group_3:
ref: guidare con attenzione -- la strada bagnata riflette.",
77,294it,"@drift@ the boats downstream.
youdao: Lasciano le navi a valle.
google: portare le barche a valle.
opus: deviare le barche a valle.
group_1:
ref: deviare le barche a valle.
group_2:
ref:lasciano le navi essere liberi a valle.
group_3:
ref: deviare le barche a valle.",
78,232it,"Water @flowed@ into the cave.
youdao: L’acqua galleggiava nella caverna.
google: L'acqua scorreva nella grotta.
opus: L'acqua scorreva nella grotta.
group_1:
ref:l'acqua scorreva nella grotta.
group_2:
ref:l'acqua scorreva nella grotta.
group_3:
ref: l'acqua scorreva nella grotta.",
79,311it,"She was @wearing@ yellow that day.
youdao: Stava indossando del giallo quel giorno.
google: Quel giorno era vestita di giallo.
opus: Indossava il giallo quel giorno.
group_1:
ref:indossava il giallo quel giorno.
group_2:
ref:indossava il giallo quel giorno.
group_3:
ref: indossava il giallo quel giorno.",
